"crop_number","crop_name","Category","whc_min_frac","Comments"
"3.01","Almonds","Woody Perennial","0.35","Deep roots but managed to avoid nut shrivel during heat."
"3.02","Apple","Woody Perennial","0.35","Deep roots but managed for fruit sizing."
"1.02","Artichokes","Non-woody Perennial","0.4","Large established crown systems with moderate drought tolerance."
"1.03","Asparagus","Non-woody Perennial","0.4","Deep-rooted herbaceous perennial with high storage capacity."
"1.01","Alfalfa (cycle)","Non-woody Perennial","0.4","Deep taproots can scavenge moisture; tolerant of moderate depletion."
"2.01","Alfalfa (annual)","Non-woody Perennial","0.4","Deep taproots can scavenge moisture; tolerant of moderate depletion."
"4.01","Avocado","Woody Perennial","0.35","Note: Sensitive to low WHC due to shallow roots without root hairs."
"1.04","Barley","Annual (Hardy)","0.45","Scavenging root system; relatively drought-tolerant small grain."
"1.05","Beans (pinto)","Annual (Hardy)","0.45","Can tolerate moderate tension compared to succulent fresh beans."
"1.06","Beans (dry)","Annual (Hardy)","0.45","Can tolerate moderate tension compared to succulent fresh beans."
"","Beans (Fresh)","Annual (Sensitive)","0.6","Shallow roots; moisture stress quickly impacts pod quality."
"1.08","Beets (table)","Annual (Sensitive)","0.6","Consistent moisture required for root development and texture."
"1.09","Broccoli","Annual (Sensitive)","0.6","Shallow roots; high ET demand to maintain vegetative growth."
"1.1","Cabbage","Annual (Sensitive)","0.6","High water content crop; very sensitive to head splitting/wilting."
"1.11","Carrots","Annual (Sensitive)","0.6","Requires high soil moisture to prevent woody texture and forking."
"1.12","Celery","Annual (Sensitive)","0.6","Extremely shallow roots; highest moisture requirement for crispness."
"4.02","Citrus (>3.8 m tall)","Woody Perennial","0.35","Moderate depletion allowed but high frequency preferred in summer."
"4.03","Citrus (<3.0 m tall)","Woody Perennial","0.35","Moderate depletion allowed but high frequency preferred in summer."
"1.13","Corn (grain)","Annual (Hardy)","0.45","Deep roots; can mine moisture but sensitive during pollination."
"1.14","Corn (silage)","Annual (Hardy)","0.45","Deep roots; can mine moisture but sensitive during pollination."
"1.15","Cotton","Annual (Hardy)","0.45","Taproot system allows for significant soil moisture extraction."
"1.16","Cucumber","Annual (Sensitive)","0.6","High water turnover; stress leads to bitter fruit."
"4.04","Date Palm","Woody Perennial","0.35","Extremely hardy but requires managed floors for fruit yield."
"1.17","Eggplant","Annual (Hardy)","0.45","Deeper rooted than most solanaceous vegetables."
"4.05","Evergreen","Woody Perennial","0.35","Stable root volume allows for lower management floor."
"1.18","Flax","Annual (Hardy)","0.45","Moderate drought tolerance once established."
"1.19","Grains (small)","Annual (Hardy)","0.45","General category for cereals with scavenging root architectures."
"1.20","Grains (winter)","Annual (Hardy)","0.45","General category for cereals with scavenging root architectures."
"3.03","Grapes (wine)","Woody Perennial","0.35","Deep roots; often managed with Regulated Deficit Irrigation (RDI)."
"3.04","Grapes (table)","Woody Perennial","0.35","Deep roots; often managed with Regulated Deficit Irrigation (RDI)."
"3.05","Grapes (raisin)","Woody Perennial","0.35","Deep roots; often managed with Regulated Deficit Irrigation (RDI)."
"2.02","Improved Pasture","Non-woody Perennial","0.4","Dense root mat; requires moderate floor to maintain regrowth."
"3.06","Kiwifruit","Woody Perennial","0.35","Vines require stable moisture but can access larger soil volumes."
"1.21","Lentil","Annual (Hardy)","0.45","Cool-season legume with reasonable drought resistance."
"1.22","Lettuce","Annual (Sensitive)","0.6","Very shallow roots; moisture stress causes tipburn and bolting."
"1.23","Melon","Annual (Hardy)","0.45","Deep taproots; managed depletion can increase sugar content (Brix)."
"1.24","Millet","Annual (Hardy)","0.45","Highly efficient water user; scavenging roots."
"1.25","Mustard","Annual (Hardy)","0.45","Rapid growth and reasonable scavenging ability."
"1.26","Oats","Annual (Hardy)","0.45","Standard cereal tolerance for moderate soil moisture depletion."
"4.06","Olives","Woody Perennial","0.35","Highly drought tolerant; 0.35 is a conservative management floor."
"1.27","Onion (dry)","Annual (Sensitive)","0.6","Very shallow, fibrous roots; sensitive to bulb sizing issues."
"1.28","Onion (green)","Annual (Sensitive)","0.6","Very shallow, fibrous roots; sensitive to bulb sizing issues."
"1.29","Peas","Annual (Sensitive)","0.6","Shallow roots; moisture critical during flowering and pod fill."
"1.3","Peppers","Annual (Sensitive)","0.6","Sensitive to blossom end rot if moisture fluctuates."
"1.31","Potato","Annual (Sensitive)","0.6","Shallow roots; stress causes internal defects and yield loss."
"1.32","Radishes","Annual (Sensitive)","0.6","Fast growing and shallow; requires constant moisture for quality."
"1.34","Safflower","Annual (Hardy)","0.45","Deep taproot (up to 6ft+); excellent scavenger."
"1.35","Sisal","Annual (Hardy)","0.45","Succulent-like properties with high drought tolerance."
"1.36","Sorghum","Annual (Hardy)","0.45","Exceptional drought tolerance; can extract water at high tension."
"1.37","Spinach","Annual (Sensitive)","0.6","Extremely shallow roots; sensitive to rapid ET changes."
"1.38","Squash","Annual (Hardy)","0.45","Large leaf area but deep/wide-ranging root system."
"3.07","Stone fruits","Woody Perennial","0.35","Deep roots; floor managed for fruit sizing and bud set."
"1.39","Strawberries w/mulch","Annual (Sensitive)","0.6","Shallow roots; usually drip-irrigated with high frequency in CA."
"1.47","Sudan grass","Annual (Hardy)","0.45","Hardy forage crop with extensive scavenging roots."
